x,y,player,team,cluters
2.5075089789057254,27.296671324110214,Andrew Bogut,GSW,2
-3.542191090185088,6.479743831270234,Marvin Williams,CHA,4
-9.097248742578717,-25.86070384323929,Chris Paul,LAC,5
7.387475603149388,-6.162520013122826,Martell Webster,WAS,0
3.4412737966206763,-0.09190116974566032,Charlie Villanueva,DAL,0
-2.9688549241898876,6.708919712093218,Channing Frye,ORL,4
-7.604608616247379,-23.540303477593497,Deron Williams,BKN,5
3.6424456305233983,-2.3028603787395268,Danny Granger,MIA,0
-4.913356625482698,-4.852872998833485,Gerald Green,PHX,3
0.6525139330574408,-15.280154151529027,Nate Robinson,DEN,1
-0.5025910917651406,-15.602534600166223,Nate Robinson,TOTAL,1
-8.15029117768924,-25.412949998578878,Jarrett Jack,BKN,5
15.269759068748822,19.40122610773925,Jason Maxiell,CHA,6
9.874926093288774,26.450322848777194,Ian Mahinmi,IND,2
9.85997318410721,27.745442663879476,David Lee,GSW,2
5.170332633170212,17.475121909409914,Brandon Bass,BOS,2
-7.8446302525083285,-0.9154604929165154,CJ Miles,IND,3
2.2927438815555985,9.002442061022684,Ersan Ilyasova,MIL,4
-5.340246576933983,-27.728695506909038,Monta Ellis,DAL,5
-7.268861798292147,-13.23295758849279,Lou Williams,TOR,1
6.052675561992148,22.760652977427906,Amir Johnson,TOR,2
4.7344947125509425,24.239204443476996,Marcin Gortat,WAS,2
0.0526738220804035,-18.444995643844788,Ronnie Price,LAL,1
-6.177413940317469,-16.20407430634148,Jose Calderon,NYK,1
-3.962859710267609,-1.808776879053943,Alan Anderson,BKN,3
3.0757677591332118,24.993417107736494,Tim Duncan,SAS,2
-1.280985470403846,-2.713877179943686,Vince Carter,MEM,3
-3.3846623413813806,7.788397023501931,Dirk Nowitzki,DAL,4
-6.143347586802025,3.7472384290165768,Paul Pierce,WAS,3
12.55778298348628,13.625190483759553,Elton Brand,ATL,6
-11.915529734189606,-23.257674074787776,Andre Miller,SAC,5
7.262215327078047,-17.18223957006577,Andre Miller,TOTAL,1
6.46288569212845,-16.49711588295452,Andre Miller,WAS,1
