PLAYER_ID,TEAM_ABBREVIATION,defense_address_PLAYER,defense_address_GP,defense_address_MIN,defense_address_BLK,defense_address_STL,defense_address_FGM_DEFEND_RIM,defense_address_FGA_DEFEND_RIM,defense_address_FGP_DEFEND_RIM,defense_address_BLK_TOT,drives_address_DVS,drives_address_DPP,drives_address_DTP,drives_address_FG_PCT,drives_address_PTS_48,drives_address_DPP_TOT,drives_address_DVS_TOT,shooting_address_PTS,shooting_address_PTS_CLOSE,shooting_address_FGP_CLOSE,shooting_address_PTS_CATCH_SHOOT,shooting_address_FGP_CATCH_SHOOT,shooting_address_PTS_PULL_UP,shooting_address_FGP_PULL_UP,shooting_address_FGA_DRIVE,shooting_address_FGA_CLOSE,shooting_address_FGA_CATCH_SHOOT,shooting_address_FGA_PULL_UP,shooting_address_EFG_PCT,shooting_address_CFGM,passing_address_PASS,passing_address_AST,passing_address_AST_FT,passing_address_AST_SEC,passing_address_AST_POT,passing_address_PTS_CRT,passing_address_PTS_CRT_48,passing_address_AST_TOT,speed_address_DIST,speed_address_AV_SPD,speed_address_DIST_PG,speed_address_DIST_48,speed_address_DIST_OFF,speed_address_DIST_DEF,pullup_address_FGM,pullup_address_FG3M,pullup_address_FG3A,pullup_address_FG3_PCT,pullup_address_EFG_PCT,pullup_address_PTS_TOT,rebounding_address_REB,rebounding_address_REB_CHANCE,rebounding_address_REB_COL_PCT,rebounding_address_REB_CONTESTED,rebounding_address_REB_UNCONTESTED,rebounding_address_REB_UNCONTESTED_PCT,rebounding_address_REB_TOT,rebounding_address_OREB,rebounding_address_OREB_CHANCE,rebounding_address_OREB_COL_PCT,rebounding_address_OREB_CONTESTED,rebounding_address_OREB_UNCONTESTED,rebounding_address_OREB_UNCONTESTED_PCT,rebounding_address_DREB,rebounding_address_DREB_CHANCE,rebounding_address_DREB_COL_PCT,rebounding_address_DREB_CONTESTED,rebounding_address_DREB_UNCONTESTED,rebounding_address_DREB_UNCONTESTED_PCT,touches_address_TCH,touches_address_FC_TCH,touches_address_TOP,touches_address_CL_TCH,touches_address_EL_TCH,touches_address_PTS_TCH,touches_address_PTS_HCCT,touches_address_TCH_TOT,catchshoot_address_FGM,catchshoot_address_FG3M,catchshoot_address_FG3A,catchshoot_address_FG3_PCT,catchshoot_address_EFG_PCT,catchshoot_address_PTS_TOT
101126,DEN,Nate Robinson,33.0,14.1,0.1,0.4,0.4,0.6,0.632,3.0,2.3,1.2,2.7,0.333,3.9,38.0,76.0,5.8,0.1,0.5,1.4,0.246,2.2,0.352,1.3,0.1,1.8,2.7,0.407,0.0,19.9,2.3,0.3,0.4,4.5,5.5,18.7,77.0,32.6,4.2,1.0,3.4,16.6,16.0,0.9,0.3,1.0,0.273,0.403,71.0,1.2,1.9,0.629,0.2,1.0,0.128,39.0,0.4,0.8,0.519,0.1,0.3,0.214,0.8,1.1,0.7140000000000001,0.1,0.7,0.08,28.8,25.6,2.3,0.2,0.4,0.202,0.227,950.0,0.5,0.5,1.8,0.259,0.369,45.0
101126,LAC,Nate Robinson,9.0,14.1,0.0,0.7,0.1,0.4,0.25,0.0,1.3,0.3,1.7,0.0,1.1,3.0,12.0,5.1,0.2,1.0,1.7,0.385,2.2,0.321,0.4,0.1,1.4,3.1,0.402,0.0,19.3,2.2,0.1,0.4,4.0,5.6,19.0,20.0,9.0,4.3,1.0,3.4,4.6,4.4,1.0,0.2,0.7,0.333,0.357,20.0,1.2,1.9,0.647,0.3,0.9,0.273,11.0,0.3,0.9,0.375,0.1,0.2,0.33299999999999996,0.9,1.0,0.889,0.2,0.7,0.25,27.9,24.6,2.2,0.2,0.4,0.183,0.208,251.0,0.6,0.6,1.4,0.385,0.577,15.0
101126,TOTAL,Nate Robinson,42.0,14.1,0.1,0.5,0.3,0.5,0.565,3.0,2.1,1.0,2.5,0.304,3.3,41.0,88.0,5.7,0.1,0.667,1.4,0.27,2.2,0.345,1.1,0.1,1.8,2.8,0.406,0.0,19.8,2.3,0.3,0.4,4.4,5.5,18.7,97.0,41.6,4.2,1.0,3.4,21.2,20.4,1.0,0.3,0.9,0.282,0.392,91.0,1.2,1.9,0.633,0.2,1.0,0.16,50.0,0.4,0.8,0.486,0.1,0.3,0.235,0.8,1.0,0.75,0.1,0.7,0.121,28.6,25.4,2.3,0.2,0.4,0.198,0.223,1201.0,0.5,0.5,1.7,0.282,0.405,60.0
101127,BKN,Jarrett Jack,80.0,28.1,0.2,0.9,0.5,1.0,0.525,13.0,5.6,3.8,6.5,0.529,6.5,302.0,449.0,12.0,0.2,0.6,1.3,0.327,4.3,0.399,2.8,0.1,1.4,5.4,0.463,0.0,44.2,4.7,0.7,0.9,9.5,10.8,18.5,373.0,151.6,4.0,1.9,3.2,83.2,68.4,2.1,0.1,0.7,0.094,0.404,347.0,3.1,4.4,0.7020000000000001,0.4,2.6,0.139,245.0,0.2,0.5,0.442,0.0,0.2,0.21100000000000002,2.8,3.8,0.7390000000000001,0.4,2.4,0.133,61.3,55.4,5.3,0.3,1.2,0.195,0.216,4904.0,0.5,0.4,1.1,0.348,0.465,105.0
101128,HOU,Francisco Garcia,14.0,14.3,0.4,0.6,0.9,1.6,0.591,5.0,1.7,0.5,0.6,0.333,1.7,7.0,24.0,3.2,0.0,,1.9,0.25,0.2,0.077,0.6,0.0,2.6,0.9,0.349,0.0,17.9,1.1,0.1,0.6,2.5,2.6,8.6,15.0,13.6,4.1,1.0,3.3,7.2,6.4,0.1,0.1,0.5,0.143,0.115,3.0,1.2,2.2,0.5479999999999999,0.4,0.9,0.294,17.0,0.2,0.4,0.6,0.1,0.1,0.33299999999999996,1.0,1.9,0.5379999999999999,0.3,0.7,0.28600000000000003,24.2,18.9,0.9,0.1,0.2,0.133,0.17,339.0,0.6,0.6,2.6,0.25,0.375,27.0
101131,CHA,Jason Maxiell,61.0,14.4,0.7,0.3,1.6,3.2,0.51,44.0,0.1,0.0,0.1,0.333,0.1,2.0,5.0,3.3,1.4,0.529,0.6,0.327,0.1,0.222,0.0,1.1,0.9,0.3,0.422,0.0,12.0,0.3,0.0,0.1,0.9,0.7,2.3,19.0,59.3,4.0,1.0,3.2,32.6,26.7,0.1,0.0,0.0,,0.222,8.0,3.3,6.0,0.56,1.4,1.9,0.426,203.0,1.4,2.4,0.6,1.1,0.4,0.747,1.9,3.6,0.534,0.4,1.6,0.188,16.3,7.9,0.3,1.6,1.5,0.204,0.423,996.0,0.3,0.0,0.0,,0.327,34.0
101133,IND,Ian Mahinmi,61.0,18.8,0.8,0.5,2.5,5.4,0.455,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,2.3,0.607,0.1,0.211,0.0,0.333,0.0,1.8,0.3,0.0,0.552,0.0,19.8,0.5,0.0,0.4,1.6,1.3,3.3,33.0,77.0,4.0,1.3,3.2,40.4,36.6,0.0,0.0,0.0,,0.333,2.0,5.8,9.6,0.61,2.5,3.3,0.435,356.0,1.7,3.3,0.522,1.4,0.4,0.79,4.1,6.3,0.655,1.2,2.9,0.287,25.2,13.3,0.6,3.1,2.1,0.172,0.326,1537.0,0.1,0.0,0.0,,0.211,8.0
101135,GSW,David Lee,48.0,18.5,0.5,0.6,2.4,4.8,0.491,26.0,0.8,0.6,0.7,0.435,1.5,27.0,38.0,8.1,2.8,0.621,0.5,0.4,0.1,0.2,0.5,1.8,0.6,0.3,0.519,0.0,30.5,1.7,0.3,0.5,3.6,4.2,10.9,80.0,59.6,4.0,1.2,3.2,31.3,28.3,0.1,0.0,0.0,0.0,0.2,6.0,5.3,9.6,0.551,2.4,2.9,0.449,254.0,1.7,3.3,0.509,1.1,0.6,0.667,3.6,6.3,0.573,1.2,2.4,0.34700000000000003,39.7,24.6,0.9,2.9,3.3,0.204,0.329,1906.0,0.2,0.0,0.0,0.0,0.4,24.0
101138,BOS,Brandon Bass,82.0,23.5,0.4,0.5,1.5,2.8,0.549,32.0,1.3,0.8,1.3,0.373,1.7,67.0,108.0,10.6,2.4,0.645,2.5,0.434,1.0,0.406,0.6,1.5,2.7,1.2,0.51,0.0,25.2,1.3,0.1,0.3,2.9,3.1,6.4,104.0,130.6,4.1,1.6,3.3,69.4,61.2,0.5,0.0,0.0,0.0,0.406,78.0,4.9,7.9,0.618,1.8,3.1,0.36700000000000005,398.0,1.7,2.8,0.612,1.0,0.6,0.619,3.2,5.1,0.621,0.7,2.4,0.23199999999999998,36.5,23.0,1.0,2.9,3.3,0.289,0.459,2992.0,1.2,0.1,0.4,0.31,0.455,201.0
101139,IND,CJ Miles,70.0,26.2,0.4,0.9,0.7,1.5,0.505,26.0,1.5,1.3,1.8,0.444,2.4,90.0,107.0,13.5,0.7,0.5,6.8,0.358,1.8,0.348,1.0,0.6,6.7,2.3,0.491,0.0,21.4,1.1,0.2,0.3,2.3,2.5,4.7,75.0,123.5,4.0,1.8,3.2,68.1,55.4,0.8,0.2,0.8,0.222,0.385,124.0,3.1,4.8,0.639,0.5,2.6,0.16399999999999998,214.0,0.3,0.6,0.4,0.0,0.2,0.16699999999999998,2.8,4.1,0.6759999999999999,0.5,2.3,0.163,35.9,29.0,1.0,1.0,2.5,0.375,0.464,2514.0,2.4,1.9,5.4,0.36,0.502,474.0
